match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
21/09/2024,D1,Heidenheim,Freiburg,0,3,NG,Yes,0,0,Draw,3,9,12,Away Win,1,1,Draw
21/09/2024,D1,Union Berlin,Hoffenheim,2,1,GG,Yes,2,0,Home Win,5,5,10,Draw,3,3,Draw
21/09/2024,D1,Werder Bremen,Bayern Munich,0,5,NG,Yes,0,2,Away Win,1,4,5,Away Win,0,3,Away Win
21/09/2024,D1,Ein Frankfurt,M'gladbach,2,0,NG,No,1,0,Home Win,8,5,13,Home Win,1,1,Draw
22/09/2024,D1,Leverkusen,Wolfsburg,4,3,GG,Yes,2,3,Away Win,6,2,8,Home Win,4,5,Away Win
22/09/2024,D1,Stuttgart,Dortmund,5,1,GG,Yes,2,0,Home Win,6,4,10,Home Win,1,3,Away Win
22/09/2024,D1,St Pauli,RB Leipzig,0,0,NG,No,0,0,Draw,3,1,4,Home Win,2,1,Home Win
27/09/2024,D1,Dortmund,Bochum,4,2,GG,Yes,1,2,Away Win,11,0,11,Home Win,2,0,Home Win
28/09/2024,D1,Freiburg,St Pauli,0,3,NG,Yes,0,2,Away Win,4,2,6,Home Win,3,3,Draw
28/09/2024,D1,Mainz,Heidenheim,0,2,NG,No,0,1,Away Win,7,6,13,Home Win,4,4,Draw
28/09/2024,D1,M'gladbach,Union Berlin,1,0,NG,No,0,0,Draw,2,4,6,Away Win,3,1,Home Win
28/09/2024,D1,RB Leipzig,Augsburg,4,0,NG,Yes,2,0,Home Win,8,5,13,Home Win,1,2,Away Win
28/09/2024,D1,Wolfsburg,Stuttgart,2,2,GG,Yes,1,1,Draw,1,3,4,Away Win,5,2,Home Win
28/09/2024,D1,Bayern Munich,Leverkusen,1,1,GG,No,1,1,Draw,6,1,7,Home Win,1,3,Away Win
29/09/2024,D1,Holstein Kiel,Ein Frankfurt,2,4,GG,Yes,1,1,Draw,4,9,13,Away Win,1,3,Away Win
29/09/2024,D1,Hoffenheim,Werder Bremen,3,4,GG,Yes,3,3,Draw,2,6,8,Away Win,3,3,Draw
04/10/2024,D1,Augsburg,M'gladbach,2,1,GG,Yes,1,0,Home Win,6,5,11,Home Win,2,4,Away Win
05/10/2024,D1,Bochum,Wolfsburg,1,3,GG,Yes,0,2,Away Win,7,6,13,Home Win,1,2,Away Win
