Round Number,Date,Home Team,Away Team,Time
11,01/11/2025 20:00,Real Madrid,Valencia,20:00:00
11,02/11/2025 13:00,Levante,Celta,13:00:00
11,02/11/2025 15:15,Alaves,Espanol,15:15:00
11,02/11/2025 17:30,Barcelona,Elche,17:30:00
11,02/11/2025 20:00,Betis,Mallorca,20:00:00
11,03/11/2025 20:00,Real Oviedo,Osasuna,20:00:00
12,07/11/2025 20:00,Elche,Sociedad,20:00:00
12,08/11/2025 13:00,Girona,Alaves,13:00:00
12,08/11/2025 15:15,Sevilla,Osasuna,15:15:00
12,08/11/2025 17:30,Ath Madrid,Levante,17:30:00
12,08/11/2025 20:00,Espanol,Villarreal,20:00:00
12,09/11/2025 13:00,Ath Bilbao,Real Oviedo,13:00:00
12,09/11/2025 15:15,Vallecano,Real Madrid,15:15:00
12,09/11/2025 17:30,Valencia,Betis,17:30:00
12,09/11/2025 17:30,Mallorca,Getafe,17:30:00
12,09/11/2025 20:00,Celta,Barcelona,20:00:00
13,21/11/2025 20:00,Valencia,Levante,20:00:00
13,22/11/2025 13:00,Alaves,Celta,13:00:00
13,22/11/2025 15:15,Barcelona,Ath Bilbao,15:15:00
13,22/11/2025 17:30,Osasuna,Sociedad,17:30:00
13,22/11/2025 20:00,Villarreal,Mallorca,20:00:00
13,23/11/2025 13:00,Real Oviedo,Vallecano,13:00:00
13,23/11/2025 15:15,Betis,Girona,15:15:00
13,23/11/2025 17:30,Getafe,Ath Madrid,17:30:00
13,23/11/2025 20:00,Elche,Real Madrid,20:00:00
13,24/11/2025 20:00,Espanol,Sevilla,20:00:00
14,28/11/2025 20:00,Getafe,Elche,20:00:00
14,29/11/2025 13:00,Mallorca,Osasuna,13:00:00
14,29/11/2025 15:15,Barcelona,Alaves,15:15:00
14,29/11/2025 17:30,Levante,Ath Bilbao,17:30:00
14,29/11/2025 20:00,Ath Madrid,Real Oviedo,20:00:00
14,30/11/2025 13:00,Sociedad,Villarreal,13:00:00
14,30/11/2025 15:15,Sevilla,Betis,15:15:00
14,30/11/2025 17:30,Celta,Espanol,17:30:00
14,30/11/2025 20:00,Girona,Real Madrid,20:00:00
14,01/12/2025 20:00,Vallecano,Valencia,20:00:00
15,05/12/2025 20:00,Real Oviedo,Mallorca,20:00:00
15,06/12/2025 13:00,Villarreal,Getafe,13:00:00
15,06/12/2025 15:15,Alaves,Sociedad,15:15:00
15,06/12/2025 17:30,Betis,Barcelona,17:30:00
15,06/12/2025 20:00,Ath Bilbao,Ath Madrid,20:00:00
15,07/12/2025 13:00,Elche,Girona,13:00:00
15,07/12/2025 15:15,Valencia,Sevilla,15:15:00
15,07/12/2025 17:30,Espanol,Vallecano,17:30:00
15,07/12/2025 20:00,Real Madrid,Celta,20:00:00
15,08/12/2025 20:00,Osasuna,Levante,20:00:00
16,14/12/2025 20:00,Alaves,Real Madrid,20:00:00
16,14/12/2025 20:00,Ath Madrid,Valencia,20:00:00
16,14/12/2025 20:00,Barcelona,Osasuna,20:00:00
16,14/12/2025 20:00,Levante,Villarreal,20:00:00
16,14/12/2025 20:00,Celta,Ath Bilbao,20:00:00
16,14/12/2025 20:00,Vallecano,Betis,20:00:00
16,14/12/2025 20:00,Mallorca,Elche,20:00:00
16,14/12/2025 20:00,Getafe,Espanol,20:00:00
16,14/12/2025 20:00,Sociedad,Girona,20:00:00
16,14/12/2025 20:00,Sevilla,Real Oviedo,20:00:00
17,21/12/2025 20:00,Ath Bilbao,Espanol,20:00:00
17,21/12/2025 20:00,Betis,Getafe,20:00:00
17,21/12/2025 20:00,Elche,Vallecano,20:00:00
17,21/12/2025 20:00,Levante,Sociedad,20:00:00
17,21/12/2025 20:00,Real Madrid,Sevilla,20:00:00
17,21/12/2025 20:00,Osasuna,Alaves,20:00:00
17,21/12/2025 20:00,Girona,Ath Madrid,20:00:00
17,21/12/2025 20:00,Villarreal,Barcelona,20:00:00
17,21/12/2025 20:00,Real Oviedo,Celta,20:00:00
