Round_Number,Date,Home Team,Away_Team,Time
11,22/11/2025 17:30,FC Koln,Ein Frankfurt,17:30:00
11,23/11/2025 14:30,RB Leipzig,Werder Bremen,14:30:00
11,23/11/2025 16:30,St. Pauli,Union Berlin,16:30:00
12,28/11/2025 19:30,M'gladbach,RB Leipzig,19:30:00
12,29/11/2025 14:30,Hoffenheim,Augsburg,14:30:00
12,29/11/2025 14:30,Union Berlin,Heidenheim,14:30:00
12,29/11/2025 14:30,Werder Bremen,FC Koln,14:30:00
12,29/11/2025 14:30,Bayern Munich,St. Pauli,14:30:00
12,29/11/2025 17:30,Leverkusen,Dortmund,17:30:00
12,30/11/2025 14:30,Hamburg,Stuttgart,14:30:00
12,30/11/2025 16:30,Ein Frankfurt,Wolfsburg,16:30:00
12,30/11/2025 18:30,Freiburg,Mainz,18:30:00
13,06/12/2025 14:30,Hamburg,Werder Bremen,14:30:00
13,06/12/2025 14:30,FC Koln,St. Pauli,14:30:00
13,06/12/2025 14:30,Heidenheim,Freiburg,14:30:00
13,06/12/2025 14:30,Augsburg,Leverkusen,14:30:00
13,06/12/2025 14:30,Wolfsburg,Union Berlin,14:30:00
13,06/12/2025 14:30,Stuttgart,Bayern Munich,14:30:00
13,06/12/2025 14:30,RB Leipzig,Ein Frankfurt,14:30:00
13,06/12/2025 14:30,Mainz,M'gladbach,14:30:00
13,06/12/2025 14:30,Dortmund,Hoffenheim,14:30:00
14,13/12/2025 14:30,Hoffenheim,Hamburg,14:30:00
14,13/12/2025 14:30,St. Pauli,Heidenheim,14:30:00
14,13/12/2025 14:30,Union Berlin,RB Leipzig,14:30:00
14,13/12/2025 14:30,M'gladbach,Wolfsburg,14:30:00
14,13/12/2025 14:30,Werder Bremen,Stuttgart,14:30:00
14,13/12/2025 14:30,Freiburg,Dortmund,14:30:00
14,13/12/2025 14:30,Ein Frankfurt,Augsburg,14:30:00
14,13/12/2025 14:30,Leverkusen,FC Koln,14:30:00
14,13/12/2025 14:30,Bayern Munich,Mainz,14:30:00
15,20/12/2025 14:30,Hamburg,Ein Frankfurt,14:30:00
15,20/12/2025 14:30,FC Koln,Union Berlin,14:30:00
15,20/12/2025 14:30,Heidenheim,Bayern Munich,14:30:00
15,20/12/2025 14:30,Augsburg,Werder Bremen,14:30:00
15,20/12/2025 14:30,Wolfsburg,Freiburg,14:30:00
15,20/12/2025 14:30,Stuttgart,Hoffenheim,14:30:00
15,20/12/2025 14:30,RB Leipzig,Leverkusen,14:30:00
15,20/12/2025 14:30,Mainz,St. Pauli,14:30:00
15,20/12/2025 14:30,Dortmund,M'gladbach,14:30:00
16,10/01/2026 14:30,Heidenheim,FC Koln,14:30:00
16,10/01/2026 14:30,St. Pauli,RB Leipzig,14:30:00
16,10/01/2026 14:30,Union Berlin,Mainz,14:30:00
16,10/01/2026 14:30,M'gladbach,Augsburg,14:30:00
16,10/01/2026 14:30,Werder Bremen,Hoffenheim,14:30:00
16,10/01/2026 14:30,Freiburg,Hamburg,14:30:00
16,10/01/2026 14:30,Ein Frankfurt,Dortmund,14:30:00
16,10/01/2026 14:30,Leverkusen,Stuttgart,14:30:00
16,10/01/2026 14:30,Bayern Munich,Wolfsburg,14:30:00
17,13/01/2026 19:30,Hamburg,Leverkusen,19:30:00
17,13/01/2026 19:30,FC Koln,Bayern Munich,19:30:00
17,13/01/2026 19:30,Hoffenheim,M'gladbach,19:30:00
17,13/01/2026 19:30,Augsburg,Union Berlin,19:30:00
17,13/01/2026 19:30,Wolfsburg,St. Pauli,19:30:00
17,13/01/2026 19:30,Stuttgart,Ein Frankfurt,19:30:00
17,13/01/2026 19:30,RB Leipzig,Freiburg,19:30:00
17,13/01/2026 19:30,Mainz,Heidenheim,19:30:00
17,13/01/2026 19:30,Dortmund,Werder Bremen,19:30:00
18,17/01/2026 14:30,Hamburg,M'gladbach,14:30:00
18,17/01/2026 14:30,FC Koln,Mainz,14:30:00
18,17/01/2026 14:30,Hoffenheim,Leverkusen,14:30:00
18,17/01/2026 14:30,Augsburg,Freiburg,14:30:00
18,17/01/2026 14:30,Wolfsburg,Heidenheim,14:30:00
18,17/01/2026 14:30,Stuttgart,Union Berlin,14:30:00
18,17/01/2026 14:30,Werder Bremen,Ein Frankfurt,14:30:00
18,17/01/2026 14:30,RB Leipzig,Bayern Munich,14:30:00
18,17/01/2026 14:30,Dortmund,St. Pauli,14:30:00
19,24/01/2026 14:30,Heidenheim,RB Leipzig,14:30:00
19,24/01/2026 14:30,St. Pauli,Hamburg,14:30:00
19,24/01/2026 14:30,Union Berlin,Dortmund,14:30:00
19,24/01/2026 14:30,M'gladbach,Stuttgart,14:30:00
19,24/01/2026 14:30,Mainz,Wolfsburg,14:30:00
19,24/01/2026 14:30,Freiburg,FC Koln,14:30:00
19,24/01/2026 14:30,Ein Frankfurt,Hoffenheim,14:30:00
19,24/01/2026 14:30,Leverkusen,Werder Bremen,14:30:00
19,24/01/2026 14:30,Bayern Munich,Augsburg,14:30:00
20,31/01/2026 14:30,Hamburg,Bayern Munich,14:30:00
20,31/01/2026 14:30,FC Koln,Wolfsburg,14:30:00
20,31/01/2026 14:30,Hoffenheim,Union Berlin,14:30:00
20,31/01/2026 14:30,Augsburg,St. Pauli,14:30:00
20,31/01/2026 14:30,Stuttgart,Freiburg,14:30:00
20,31/01/2026 14:30,Werder Bremen,M'gladbach,14:30:00
20,31/01/2026 14:30,RB Leipzig,Mainz,14:30:00
20,31/01/2026 14:30,Dortmund,Heidenheim,14:30:00
20,31/01/2026 14:30,Ein Frankfurt,Leverkusen,14:30:00
21,07/02/2026 14:30,FC Koln,RB Leipzig,14:30:00
21,07/02/2026 14:30,Heidenheim,Hamburg,14:30:00
21,07/02/2026 14:30,St. Pauli,Stuttgart,14:30:00
21,07/02/2026 14:30,Union Berlin,Ein Frankfurt,14:30:00
21,07/02/2026 14:30,Wolfsburg,Dortmund,14:30:00
21,07/02/2026 14:30,M'gladbach,Leverkusen,14:30:00
21,07/02/2026 14:30,Mainz,Augsburg,14:30:00
21,07/02/2026 14:30,Freiburg,Werder Bremen,14:30:00
21,07/02/2026 14:30,Bayern Munich,Hoffenheim,14:30:00
22,14/02/2026 14:30,Hamburg,Union Berlin,14:30:00
22,14/02/2026 14:30,Hoffenheim,Freiburg,14:30:00
22,14/02/2026 14:30,Augsburg,Heidenheim,14:30:00
22,14/02/2026 14:30,Stuttgart,FC Koln,14:30:00
22,14/02/2026 14:30,Werder Bremen,Bayern Munich,14:30:00
22,14/02/2026 14:30,RB Leipzig,Wolfsburg,14:30:00
22,14/02/2026 14:30,Dortmund,Mainz,14:30:00
22,14/02/2026 14:30,Ein Frankfurt,M'gladbach,14:30:00
22,14/02/2026 14:30,Leverkusen,St. Pauli,14:30:00
23,21/02/2026 14:30,FC Koln,Hoffenheim,14:30:00
23,21/02/2026 14:30,Heidenheim,Stuttgart,14:30:00
23,21/02/2026 14:30,St. Pauli,Werder Bremen,14:30:00
23,21/02/2026 14:30,Union Berlin,Leverkusen,14:30:00
23,21/02/2026 14:30,Wolfsburg,Augsburg,14:30:00
23,21/02/2026 14:30,RB Leipzig,Dortmund,14:30:00
23,21/02/2026 14:30,Mainz,Hamburg,14:30:00
