match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
12/03/2023,I1,Juventus,Sampdoria,4,2,GG,Yes,2,2,Draw,11,3,14,Home Win,1,1,Draw
13/03/2023,I1,Milan,Salernitana,1,1,GG,No,1,0,Home Win,6,4,10,Home Win,2,3,Away Win
17/03/2023,I1,Sassuolo,Spezia,1,0,NG,No,0,0,Draw,3,3,6,Draw,0,2,Away Win
17/03/2023,I1,Atalanta,Empoli,2,1,GG,Yes,0,1,Away Win,13,2,15,Home Win,3,2,Home Win
18/03/2023,I1,Monza,Cremonese,1,1,GG,No,0,0,Draw,8,4,12,Home Win,3,5,Away Win
18/03/2023,I1,Salernitana,Bologna,2,2,GG,Yes,1,1,Draw,5,4,9,Home Win,0,1,Away Win
18/03/2023,I1,Udinese,Milan,3,1,GG,Yes,2,1,Home Win,5,6,11,Away Win,4,2,Home Win
19/03/2023,I1,Sampdoria,Verona,3,1,GG,Yes,2,0,Home Win,5,8,13,Away Win,3,2,Home Win
19/03/2023,I1,Fiorentina,Lecce,1,0,NG,No,1,0,Home Win,1,3,4,Away Win,1,3,Away Win
19/03/2023,I1,Torino,Napoli,0,4,NG,Yes,0,2,Away Win,5,4,9,Home Win,1,1,Draw
19/03/2023,I1,Lazio,Roma,1,0,NG,No,0,0,Draw,5,2,7,Home Win,4,4,Draw
19/03/2023,I1,Inter,Juventus,0,1,NG,No,0,1,Away Win,6,4,10,Home Win,3,4,Away Win
01/04/2023,I1,Cremonese,Atalanta,1,3,GG,Yes,0,1,Away Win,0,6,6,Away Win,3,2,Home Win
01/04/2023,I1,Inter,Fiorentina,0,1,NG,No,0,0,Draw,10,8,18,Home Win,2,3,Away Win
01/04/2023,I1,Juventus,Verona,1,0,NG,No,0,0,Draw,3,5,8,Away Win,1,2,Away Win
02/04/2023,I1,Bologna,Udinese,3,0,NG,Yes,2,0,Home Win,2,7,9,Away Win,1,1,Draw
02/04/2023,I1,Monza,Lazio,0,2,NG,No,0,1,Away Win,8,3,11,Home Win,5,2,Home Win
02/04/2023,I1,Spezia,Salernitana,1,1,GG,No,0,1,Away Win,9,5,14,Home Win,0,1,Away Win
02/04/2023,I1,Roma,Sampdoria,3,0,NG,Yes,0,0,Draw,10,3,13,Home Win,3,5,Away Win
02/04/2023,I1,Napoli,Milan,0,4,NG,Yes,0,2,Away Win,10,4,14,Home Win,1,2,Away Win
03/04/2023,I1,Empoli,Lecce,1,0,NG,No,0,0,Draw,3,4,7,Away Win,3,2,Home Win
03/04/2023,I1,Sassuolo,Torino,1,1,GG,No,1,0,Home Win,6,7,13,Away Win,1,1,Draw
07/04/2023,I1,Salernitana,Inter,1,1,GG,No,0,1,Away Win,2,8,10,Away Win,2,2,Draw
07/04/2023,I1,Lecce,Napoli,1,2,GG,Yes,0,1,Away Win,5,4,9,Home Win,2,1,Home Win
07/04/2023,I1,Milan,Empoli,0,0,NG,No,0,0,Draw,9,0,9,Home Win,2,2,Draw
08/04/2023,I1,Udinese,Monza,2,2,GG,Yes,1,0,Home Win,4,2,6,Home Win,1,3,Away Win
08/04/2023,I1,Fiorentina,Spezia,1,1,GG,No,1,1,Draw,8,4,12,Home Win,0,7,Away Win
08/04/2023,I1,Atalanta,Bologna,0,2,NG,No,0,0,Draw,6,0,6,Home Win,3,2,Home Win
08/04/2023,I1,Sampdoria,Cremonese,2,3,GG,Yes,1,1,Draw,3,3,6,Draw,2,3,Away Win
08/04/2023,I1,Torino,Roma,0,1,NG,No,0,1,Away Win,7,4,11,Home Win,3,1,Home Win
08/04/2023,I1,Verona,Sassuolo,2,1,GG,Yes,0,1,Away Win,4,10,14,Away Win,3,4,Away Win
08/04/2023,I1,Lazio,Juventus,2,1,GG,Yes,1,1,Draw,6,6,12,Draw,2,5,Away Win
14/04/2023,I1,Cremonese,Empoli,1,0,NG,No,1,0,Home Win,3,8,11,Away Win,1,0,Home Win
14/04/2023,I1,Spezia,Lazio,0,3,NG,Yes,0,1,Away Win,2,3,5,Away Win,3,4,Away Win
15/04/2023,I1,Bologna,Milan,1,1,GG,No,1,1,Draw,2,6,8,Away Win,3,4,Away Win
15/04/2023,I1,Napoli,Verona,0,0,NG,No,0,0,Draw,4,0,4,Home Win,1,4,Away Win
15/04/2023,I1,Inter,Monza,0,1,NG,No,0,0,Draw,5,2,7,Home Win,2,2,Draw
16/04/2023,I1,Lecce,Sampdoria,1,1,GG,No,1,0,Home Win,11,8,19,Home Win,1,4,Away Win
16/04/2023,I1,Torino,Salernitana,1,1,GG,No,0,1,Away Win,4,2,6,Home Win,0,1,Away Win
16/04/2023,I1,Sassuolo,Juventus,1,0,NG,No,0,0,Draw,10,13,23,Away Win,0,1,Away Win
16/04/2023,I1,Roma,Udinese,3,0,NG,Yes,1,0,Home Win,6,2,8,Home Win,1,4,Away Win
