match_date,league,HomeTeam,AwayTeam,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
31/08/2022,N1,Twente,Excelsior,4,0,NG,Yes,2,0,Home Win,1,4,5,Away Win,0,0,Draw
01/09/2022,N1,AZ Alkmaar,Nijmegen,1,1,GG,No,0,0,Draw,8,3,11,Home Win,1,1,Draw
02/09/2022,N1,For Sittard,Utrecht,3,4,GG,Yes,0,0,Draw,6,8,14,Away Win,1,2,Away Win
03/09/2022,N1,Ajax,Cambuur,4,0,NG,Yes,2,0,Home Win,9,1,10,Home Win,1,2,Away Win
03/09/2022,N1,Twente,PSV Eindhoven,2,1,GG,Yes,2,0,Home Win,4,6,10,Away Win,1,2,Away Win
03/09/2022,N1,Sparta Rotterdam,Volendam,4,0,NG,Yes,1,0,Home Win,5,11,16,Away Win,0,0,Draw
03/09/2022,N1,Go Ahead Eagles,Feyenoord,3,4,GG,Yes,2,2,Draw,6,12,18,Away Win,0,0,Draw
04/09/2022,N1,Waalwijk,Excelsior,5,2,GG,Yes,1,2,Away Win,8,3,11,Home Win,1,1,Draw
04/09/2022,N1,FC Emmen,AZ Alkmaar,0,3,NG,Yes,0,3,Away Win,7,1,8,Home Win,0,2,Away Win
04/09/2022,N1,Heerenveen,Nijmegen,0,0,NG,No,0,0,Draw,1,5,6,Away Win,1,1,Draw
04/09/2022,N1,Groningen,Vitesse,0,1,NG,No,0,0,Draw,3,8,11,Away Win,1,2,Away Win
09/09/2022,N1,Volendam,Go Ahead Eagles,2,3,GG,Yes,1,1,Draw,8,10,18,Away Win,3,2,Home Win
10/09/2022,N1,Nijmegen,For Sittard,1,1,GG,No,0,0,Draw,13,4,17,Home Win,0,6,Away Win
10/09/2022,N1,Ajax,Heerenveen,5,0,NG,Yes,2,0,Home Win,17,3,20,Home Win,1,2,Away Win
10/09/2022,N1,Excelsior,FC Emmen,2,1,GG,Yes,0,1,Away Win,6,8,14,Away Win,1,2,Away Win
11/09/2022,N1,Utrecht,Vitesse,1,0,NG,No,0,0,Draw,10,10,20,Draw,0,1,Away Win
11/09/2022,N1,Cambuur,Groningen,0,1,NG,No,0,0,Draw,6,4,10,Home Win,2,3,Away Win
11/09/2022,N1,PSV Eindhoven,Waalwijk,1,0,NG,No,0,0,Draw,12,3,15,Home Win,1,5,Away Win
11/09/2022,N1,AZ Alkmaar,Twente,1,1,GG,No,0,0,Draw,6,5,11,Home Win,1,2,Away Win
11/09/2022,N1,Feyenoord,Sparta Rotterdam,3,0,NG,Yes,2,0,Home Win,8,3,11,Home Win,0,0,Draw
16/09/2022,N1,Utrecht,Nijmegen,0,0,NG,No,0,0,Draw,6,5,11,Home Win,3,1,Home Win
17/09/2022,N1,Sparta Rotterdam,Groningen,2,1,GG,Yes,0,0,Draw,5,1,6,Home Win,0,3,Away Win
17/09/2022,N1,Vitesse,Volendam,1,1,GG,No,0,1,Away Win,11,3,14,Home Win,2,1,Home Win
17/09/2022,N1,Waalwijk,Cambuur,5,1,GG,Yes,1,1,Draw,16,0,16,Home Win,2,2,Draw
17/09/2022,N1,For Sittard,Excelsior,1,0,NG,No,0,0,Draw,1,5,6,Away Win,4,3,Home Win
18/09/2022,N1,Go Ahead Eagles,FC Emmen,2,0,NG,No,1,0,Home Win,3,5,8,Away Win,2,2,Draw
18/09/2022,N1,Heerenveen,Twente,2,1,GG,Yes,2,1,Home Win,9,11,20,Away Win,3,2,Home Win
18/09/2022,N1,PSV Eindhoven,Feyenoord,4,3,GG,Yes,2,2,Draw,13,1,14,Home Win,2,1,Home Win
18/09/2022,N1,AZ Alkmaar,Ajax,2,1,GG,Yes,2,1,Home Win,3,5,8,Away Win,3,2,Home Win
01/10/2022,N1,Cambuur,PSV Eindhoven,3,0,NG,Yes,0,0,Draw,7,4,11,Home Win,0,1,Away Win
