Round Number,Date,Home Team,Away Team,Time
11,02/11/2025 14:30,Sparta Rotterdam,AZ Alkmaar,14:30:00
11,02/11/2025 16:45,Utrecht,Nijmegen,16:45:00
12,07/11/2025 20:00,Twente,Telstar,20:00:00
12,08/11/2025 16:30,Excelsior,Heracles,16:30:00
12,08/11/2025 18:45,Volendam,NAC Breda,18:45:00
12,08/11/2025 20:00,For Sittard,Heerenveen,20:00:00
12,08/11/2025 21:00,Zwolle,Sparta Rotterdam,21:00:00
12,09/11/2025 12:15,Utrecht,Ajax,12:15:00
12,09/11/2025 14:30,Nijmegen,Groningen,14:30:00
12,09/11/2025 16:45,AZ Alkmaar,PSV Eindhoven,16:45:00
12,09/11/2025 20:00,Go Ahead Eagles,Feyenoord,20:00:00
13,22/11/2025 16:30,NAC Breda,PSV Eindhoven,16:30:00
13,22/11/2025 18:45,Ajax,Excelsior,18:45:00
13,22/11/2025 18:45,Volendam,Twente,18:45:00
13,22/11/2025 21:00,Heracles,Go Ahead Eagles,21:00:00
13,22/11/2025 21:00,Sparta Rotterdam,For Sittard,21:00:00
13,23/11/2025 12:15,Heerenveen,AZ Alkmaar,12:15:00
13,23/11/2025 14:30,Feyenoord,Nijmegen,14:30:00
13,23/11/2025 14:30,Telstar,Utrecht,14:30:00
13,23/11/2025 16:45,Groningen,Zwolle,16:45:00
14,28/11/2025 20:00,Zwolle,Heerenveen,20:00:00
14,29/11/2025 16:30,Excelsior,NAC Breda,16:30:00
14,29/11/2025 18:45,For Sittard,Heracles,18:45:00
14,29/11/2025 21:00,Nijmegen,Sparta Rotterdam,21:00:00
14,30/11/2025 12:15,PSV Eindhoven,Volendam,12:15:00
14,30/11/2025 14:30,Telstar,Feyenoord,14:30:00
14,30/11/2025 14:30,Go Ahead Eagles,Utrecht,14:30:00
14,30/11/2025 16:45,Twente,AZ Alkmaar,16:45:00
14,30/11/2025 20:00,Ajax,Groningen,20:00:00
15,05/12/2025 20:00,Excelsior,Groningen,20:00:00
15,06/12/2025 16:30,Heerenveen,PSV Eindhoven,16:30:00
15,06/12/2025 18:45,For Sittard,Ajax,18:45:00
15,06/12/2025 20:00,Heracles,Telstar,20:00:00
15,06/12/2025 21:00,Feyenoord,Zwolle,21:00:00
15,07/12/2025 12:15,Utrecht,Twente,12:15:00
15,07/12/2025 14:30,AZ Alkmaar,Go Ahead Eagles,14:30:00
15,07/12/2025 14:30,Volendam,Nijmegen,14:30:00
15,07/12/2025 16:45,Sparta Rotterdam,NAC Breda,16:45:00
16,13/12/2025 16:30,Telstar,Nijmegen,16:30:00
16,13/12/2025 18:45,Groningen,Volendam,18:45:00
16,13/12/2025 20:00,PSV Eindhoven,Heracles,20:00:00
16,13/12/2025 21:00,Zwolle,For Sittard,21:00:00
16,14/12/2025 12:15,Sparta Rotterdam,Heerenveen,12:15:00
16,14/12/2025 14:30,Ajax,Feyenoord,14:30:00
16,14/12/2025 14:30,Twente,Go Ahead Eagles,14:30:00
16,14/12/2025 16:45,AZ Alkmaar,Excelsior,16:45:00
16,14/12/2025 16:45,NAC Breda,Utrecht,16:45:00
17,19/12/2025 20:00,Heracles,Heerenveen,20:00:00
17,20/12/2025 16:30,Volendam,Sparta Rotterdam,16:30:00
17,20/12/2025 18:45,Excelsior,Zwolle,18:45:00
17,20/12/2025 20:00,Nijmegen,Ajax,20:00:00
17,20/12/2025 21:00,NAC Breda,Telstar,21:00:00
17,21/12/2025 12:15,Utrecht,PSV Eindhoven,12:15:00
17,21/12/2025 14:30,Feyenoord,Twente,14:30:00
17,21/12/2025 14:30,Go Ahead Eagles,Groningen,14:30:00
17,21/12/2025 16:45,For Sittard,AZ Alkmaar,16:45:00
18,09/01/2026 20:00,Nijmegen,Utrecht,20:00:00
18,10/01/2026 16:30,AZ Alkmaar,Volendam,16:30:00
18,10/01/2026 18:45,Twente,Zwolle,18:45:00
18,10/01/2026 20:00,PSV Eindhoven,Excelsior,20:00:00
18,10/01/2026 21:00,Groningen,NAC Breda,21:00:00
18,11/01/2026 12:15,Heerenveen,Feyenoord,12:15:00
18,11/01/2026 14:30,Telstar,Ajax,14:30:00
18,11/01/2026 14:30,Go Ahead Eagles,For Sittard,14:30:00
18,11/01/2026 16:45,Sparta Rotterdam,Heracles,16:45:00
19,16/01/2026 20:00,Excelsior,Telstar,20:00:00
19,17/01/2026 16:30,Ajax,Go Ahead Eagles,16:30:00
19,17/01/2026 18:45,Zwolle,AZ Alkmaar,18:45:00
19,17/01/2026 20:00,For Sittard,PSV Eindhoven,20:00:00
19,17/01/2026 21:00,NAC Breda,Nijmegen,21:00:00
19,18/01/2026 12:15,Heerenveen,Groningen,12:15:00
19,18/01/2026 14:30,Volendam,Utrecht,14:30:00
19,18/01/2026 14:30,Heracles,Twente,14:30:00
19,18/01/2026 16:45,Feyenoord,Sparta Rotterdam,16:45:00
20,24/01/2026 16:30,Ajax,Volendam,16:30:00
