match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
29/12/2022,SP1,Girona,Vallecano,2,2,GG,Yes,1,1,Draw,2,4,6,Away Win,3,2,Home Win
29/12/2022,SP1,Betis,Ath Bilbao,0,0,NG,No,0,0,Draw,2,6,8,Away Win,1,4,Away Win
29/12/2022,SP1,Ath Madrid,Elche,2,0,NG,No,0,0,Draw,3,5,8,Away Win,3,4,Away Win
30/12/2022,SP1,Getafe,Mallorca,2,0,NG,No,0,0,Draw,4,2,6,Home Win,0,1,Away Win
30/12/2022,SP1,Cadiz,Almeria,1,1,GG,No,0,1,Away Win,3,2,5,Home Win,2,0,Home Win
30/12/2022,SP1,Celta,Sevilla,1,1,GG,No,1,0,Home Win,5,6,11,Away Win,2,4,Away Win
30/12/2022,SP1,Valladolid,Real Madrid,0,2,NG,No,0,0,Draw,5,9,14,Away Win,2,0,Home Win
31/12/2022,SP1,Barcelona,Espanol,1,1,GG,No,1,0,Home Win,10,2,12,Home Win,6,7,Away Win
31/12/2022,SP1,Sociedad,Osasuna,2,0,NG,No,1,0,Home Win,3,2,5,Home Win,1,1,Draw
31/12/2022,SP1,Villarreal,Valencia,2,1,GG,Yes,1,1,Draw,5,2,7,Home Win,1,3,Away Win
06/01/2023,SP1,Elche,Celta,0,1,NG,No,0,1,Away Win,8,4,12,Home Win,3,1,Home Win
06/01/2023,SP1,Valencia,Cadiz,0,1,NG,No,0,1,Away Win,13,2,15,Home Win,5,6,Away Win
07/01/2023,SP1,Villarreal,Real Madrid,2,1,GG,Yes,0,0,Draw,6,5,11,Home Win,4,1,Home Win
07/01/2023,SP1,Mallorca,Valladolid,1,0,NG,No,0,0,Draw,6,2,8,Home Win,2,3,Away Win
07/01/2023,SP1,Espanol,Girona,2,2,GG,Yes,0,1,Away Win,5,2,7,Home Win,3,2,Home Win
08/01/2023,SP1,Almeria,Sociedad,0,2,NG,No,0,0,Draw,4,2,6,Home Win,1,0,Home Win
08/01/2023,SP1,Vallecano,Betis,1,2,GG,Yes,1,2,Away Win,5,7,12,Away Win,3,2,Home Win
08/01/2023,SP1,Sevilla,Getafe,2,1,GG,Yes,1,0,Home Win,4,4,8,Draw,3,3,Draw
08/01/2023,SP1,Ath Madrid,Barcelona,0,1,NG,No,0,1,Away Win,7,4,11,Home Win,2,3,Away Win
09/01/2023,SP1,Ath Bilbao,Osasuna,0,0,NG,No,0,0,Draw,14,1,15,Home Win,0,1,Away Win
13/01/2023,SP1,Celta,Villarreal,1,1,GG,No,0,1,Away Win,14,3,17,Home Win,0,2,Away Win
14/01/2023,SP1,Valladolid,Vallecano,0,1,NG,No,0,0,Draw,4,8,12,Away Win,2,2,Draw
14/01/2023,SP1,Girona,Sevilla,2,1,GG,Yes,0,1,Away Win,5,2,7,Home Win,3,1,Home Win
14/01/2023,SP1,Osasuna,Mallorca,1,0,NG,No,0,0,Draw,3,1,4,Home Win,2,3,Away Win
14/01/2023,SP1,Sociedad,Ath Bilbao,3,1,GG,Yes,2,1,Home Win,4,2,6,Home Win,5,1,Home Win
15/01/2023,SP1,Getafe,Espanol,1,2,GG,Yes,1,1,Draw,5,1,6,Home Win,2,3,Away Win
